Title,Description,Link
dyalog,"an APL-based development environment that 
allows both subject matter experts and IT specialists to efficiently 
convert ideas into software solutions.",https://www.dyalog.com/
oso,authorization for developers,https://www.osohq.com/
installing OMV nas,installing open media vault nas,https://wiki.odroid.com/odroid-hc4/software/install_omv_nas
linux to windows,accessing linux partitions from windows,https://www.howtogeek.com/112888/3-ways-to-access-your-linux-partitions-from-windows/
nas setup,what Googlebot is trying to achieve,https://gist.github.com/MawKKe/caa2bbf7edcc072129d73b61ae7815fb
odroidhc4,toaster nas,https://www.hardkernel.com/shop/odroid-hc4/
self hosted app,Self-hosting is the practice of locally hosting and managing applications instead of renting from SaaSS providers.,https://github.com/awesome-selfhosted/awesome-selfhosted
b2bquotes,plateform projet,https://b2bquotes.com/en/index.snc
soldierx,,https://www.soldierx.com
owasp,owasp cheatsheet,https://cheatsheetseries.owasp.org/cheatsheets/DotNet_Security_Cheat_Sheet.html
DSLFIN,Workshop on Domain-Specific Languages for Financial Systems,https://www.dslfin.org/resources.html
lwn.net,reader-supported news site dedicated to producing the best coverage from within the Linux and free software development communities,https://lwn.net/
isc^2 code of ethics,,https://www.isc2.org/ethics
eccouncile code of ethics,code of ethics for penetration testing and ethical hacking,https://www.eccouncil.org/code-of-ethics/
S-expression,S-expressions (or symbolic expressions, abbreviated as sexprs) are a notation for nested list (tree-structured) data,https://www.wikiwand.com/en/S-expression
Tom Chi,leader of Google X,https://www.tomchi.com/
xmpp,,
Engineering and Careering,A VIEW OF TECHNICAL LEADERSHIP,http://www.engineeringandcareering.co.uk/
teknik,"encryptedfile updload,pastebin,git, podcast, mumble server
        ",https://teknik.io/
pine64,Open. Friendly. Community Driven. | PINE64,https://www.pine64.org/
Sithjester's RMXP Resources,sprite sheets of characters,https://untamed.wild-refuge.net/rmxpresources.php?characters
debian handbook,The Debian Administrator's Handbook,https://debian-handbook.info/browse/stable/
Metasploitable,computer security project that provides information about security vulnerabilities,https://www.metasploit.com/
phoronix,Linux Hardware Reviews, Open-Source Benchmarks & Linux,https://www.phoronix.com/scan.php?page=home
fearless salary negotiation,Performance,https://fearlesssalarynegotiation.com/
docopt,Command-line interface description language,http://docopt.org/
Utility Argument Syntax,,https://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap12.html
argparse,python argument parser library,https://docs.python.org/3/library/argparse.html
sendmail,sending mails from linux,"https://linux.die.net/man/8/sendmail.sendmail , https://stackoverflow.com/questions/33802224/how-do-i-send-an-email-through-unix-sendmail-command"
crontab,cron job info,https://crontab.guru
Contabo,german cloud provider,https://contabo.com/
Hertzner,cloud provider,https://www.hetzner.com/
Hyperglot,Lightweight Markup: Markdown, reStructuredText, MediaWiki, AsciiDoc, Org-mode,https://hyperpolyglot.org/lightweight-markup
yaymukund’s weblog ^_^,change a name to avoid being racist,https://blog.yaymukund.com/posts/whats-in-a-name/
nix,package manager for Linux,https://github.com/NixOS/nixpkgs/tree/master/nixos/modules/services/misc
QT,development cycle framework,https://www.qt.io/
Codeplex,CodePlex was a forge website by Microsoft,https://www.wikiwand.com/en/CodePlex
pony,programming language,https://www.ponylang.io/
python good practices,,http://eikke.com/how-not-to-write-python-code/index.html
request-htmls,python html parser library,https://requests.readthedocs.io/projects/requests-html/en/latest/
puppeteer,headless web client,https://pptr.dev/
lsp#,language server protocol,https://langserver.org/
Radar,programme open-source de Axa France valider la fiabilité de librairies externes,https://github.com/axa-group/radar
redshift,gentoo os,https://wiki.gentoo.org/wiki/Redshift
monkey functions,"Write more elegant Azure Functions with less boilerplate, more
consistency, and support for REST APIs. Docs can be found at https://functionmonkey.azurefromthetrenches.com
        
  ",https://github.com/JamesRandall/FunctionMonkey
serverless functions,AWS Lambda vs. Azure Functions vs. Google Functions,https://logz.io/blog/serverless-guide/
Generic Programming,,
c++ coding rules,Joint Strike Figher C++ guidelines by Bjourne Strousoup,http://www.stroustrup.com/JSF-AV-rules.pdf
,regex exercises,https://regexcrossword.com/
lsp,language server protocol,https://langserver.org/
chaos report,,https://www.wikiwand.com/fr/Chaos_Re
,,https://www.hiq.se/en/
IBM DB2,hybrid data management products,https://www.wikiwand.com/en/IBM_Db2_Family
Trifacta Wrangler,data wrangling tool,https://www.trifacta.com/fr/
boost,c++ peer reviewed portable libraries,https://www.boost.org/
crunchbase,Discover innovative companies and the people behind them,https://www.crunchbase.com/
JFrog,END-TO-END UNIVERSAL DEVOPS PLATFORM,jfrog.com
Credence Goods,goods and services whose sellers are also experts who determine the customers' needs,https://www.investopedia.com/terms/c/credence-good.asp
bgp,border gateway protocol,https://www.wikiwand.com/en/Border_Gateway_Protocol
801labs,A Community Hackerspace for Information Technology, Electronics, and Information Security Enthusiasts,https://www.801labs.org/
elasticity,—the ability to handle bursts of requests. (not all scalable systems are elastic),
"Architecture Kata
",,
FsCheck,Random Testing for .NET,https://github.com/fscheck/FsCheck
LCOM,metrics measuring structural lack of cohesion,
EPPlus,create advanced Excel spreadsheets using .net,https://www.nuget.org/packages/EPPlus/
toggl,time-tracking service,https://toggl.com/
tabNine,TabNine uses deep learning to help you write code faster.,https://tabnine.com/
rtmp,real time messaging protocol,https://www.wikiwand.com/en/Real-Time_Messaging_Protocol
ASICS,application-specific integrated circuits,
zig,programming language,https://ziglang.org/
functional versioning,,
semantic versioning,,
Ludum Dare,online event where games are made from scratch in a weekend,https://ldjam.com/
Interview Cake,"Programming Interview Questions
",https://www.interviewcake.com/
Git Flow,code management process,https://leanpub.com/git-flow/read
Jeffrey Snover,"Powershell guru
",https://en.wikipedia.org/wiki/Jeffrey_Snover?oldformat=true
package management,tools that automates the process of installing, upgrading, configuring, and removing computer programs for a computer's operating system in a consistent manner,https://en.wikipedia.org/wiki/Package_manager?oldformat=true
Annotated Türing,AGuidedTourthroughAlanTuring'sHistoricPaperonComputabilityandtheTuringMachine,www.TheAnnotatedTunng.com
smtp4dev,tool which any developer who is creating and sending emails should at least check out,https://brucemcmillansblog.wordpress.com/2012/10/24/tools-for-the-developer-smtp4dev/
message queue,message queue provides temporary message storage when the destination program is busy or not connected,https://en.wikipedia.org/wiki/Message_queue?oldformat=true
smart questions,how to ask questions,https://catb.org/~esr/faqs/smart-questions.html
irc channel FAQ,"basic linux questions
",https://www.total-knowledge.com/~ilya/mips/
anti-corruption layer,set of Façades, Adapters and Translators to isolate a model from corruption by other models it needs to integrate with,https://dev.to/asarnaout/the-anti-corruption-layer-pattern-pcd
signalR,library for ASP.NET that allows server code to send asynchronous notifications to client-side web applications,https://dotnet.microsoft.com/apps/aspnet/signalr
archunit,enforcing java architecture compliance,https://www.archunit.org/
tiny core linux packets,Index of /tinycorelinux/7.x/x86/tcz/,https://distro.ibiblio.org/tinycorelinux/7.x/x86/tcz/
repository,pattern used to manage the persistence of data objects,
