Plate,Customer_meaning,Reviewer_comments
AZIZ714,LAST NAME,714 AREA CODE
BATBOX1,BATMOBILE (BATMAN) PLUS SHAPE OF VEHICLE (SCION XB),BOX
BBOMBS,NO MICRO AVAILABLE,BOMBS
BEACHY1,LOVE THE BEACH,BEACHY LOOKS LIKE BITCHY 1
BLK PWR5,STRENGTH OF FAMILY,BLACK POWER
BOT TAK,THIS IS IT,CAN NOT TRANSLATE
CHERIPI,CHERRY PIE,CHERRY PIE
CIO FTW,NO MICRO AVAILABLE,FUCK THE WORLD
DAVES88,DAVES 1988 TOYOTA,88 HITLER REFRENCE
DMOBGFY,GREEK SLANG FOR I LOVE YOU,MOB
DOITFKR,DO IT,DO IT FUCKER
EGGPUTT,NO MICRO AVAILABLE,SLANG FOR FAT GUY PER URBAN DICTIONARY
F DIABDZ,IT MEANS FOREVER DIABETES. ITS ARE DIABETES FOUNDATION WE WALK EVERY YEAR.,FUCK DIABETES
FJ 666,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER,666 EVIL
FKK OFF,FREIKÖRPER-KULTUR (GERMAN),FUCK OFF
FKN BLAK,"FKN IS INITIALS FOR MY 3 GREAT GRANDMAS FRANCINE, KAREN AND ""N"" FOR NANNY. AND THE WORD BLAK ""BLACK"" BECAUSE MY CAR APPEARS BLACK",FUCKING BLACK
FLT ATCK,NO MICRO AVAILABLE,FLAT ATTACK
F LUPUS,FIGHT LUPUS,FUCK LUPUS
HVNNHEL,ALBUM TITLE,HEAVEN AND HELL
H8DES,FAVORITE GREEK MYTH,HATE DES
ILL NKA,"""ILL"" POPULAR TERM IN THE 90'S MEANING COOL. ""NKA"" SHORTER FOR MY NICKNAME 'NEIKA'.",ILL NIGGA
JIMENZ5,LAST NAME,JIMENEZ
KISMI S,MY NICKNAME IS KISMMIE AND MY REAL NAME STARTS WITH AN S,KISS MY ASS
LHGLA88,TRAVEL THROUGH LOS ANGELES,88 HITLER REFERENCE
MMA515O,MIXED MARTIAL ARTS,5150 CRAZY
MTN SCAT,MOUNTAIN SCAT PACK,SCAT SHIT
OAK KLAN,CITY I GREW UP IN.,KLAN
PORKS15,NO MICRO AVAILABLE,PORKS PIG
POT POM,NO MICRO AVAILABLE,POT
PSYCDVA,PSYCHOLOGIST DIVA,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHIC
PSYKD,PSYCHED,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHED
ROBO 911,ROBO IS MY NICK NAME AND 911 FOR THE CAR ITS GOING ON,911 EMERGENCY
SHTYMNI,SHORTY MINI,SHITTY MINI
1MONGO,OUR SON'S NICKNAME IS MONGO. IT'S FOR HIS FIRST CAR.,LOOKS LIKE MONGOL THE MOTORCYCLE GANG
173D82D,NO MICRO AVAILABLE,CAN NOT TRANSLATE
67 PINK,NO MICRO AVAILABLE,PINK
707IRON,WEIGHT TRAINING REFERENCE SONOMA COUNTY,707 AREA CODE
MI HYNA,NO MICRO AVAILABLE,GANGSTER GIRL OR CHOLA
DAD$PP,MY DAD LOVES ME AND GOT ME A NEW CAR,PP AS IN URINE
GAMMI$G,GRANDMA GOOLSBY,G AS IN GANGSTER
G$DSKK,GRAM LOVES DOMINIC SOPHIE KAILANI KEANU. MY GRANDKIDS,G AS IN GANGSTER
FN2IB7,FN2187 IS A STAR WARS CHARACTER AND I AM A VETERAN,LOOKS LIKE EFFIN
CAN BITE,NO MICRO AVAILABLE,CAN BITE
FRESD18,NO MICRO AVAILABLE,18 HITLER
KILLAHB,LOVE THE MOVIE,KILLAH B
KILLAHW,LOVE THE MOVIE,KILLA
NO GAS X,ALL ELECTRIC CAR MODEL X,GAS
TTNISMO,TWIN TURBO NISMO,TT AS IN BREAST
1FD MOM,ONE FIRE DEPARTMENT MOM,FD LOOKS LIKE EFFED
88 VERT,1988 CONVERTIBLE,88 HITLER REFERENCE
HB 707,MOTORCYCLE CLUB,707 AREA CODE
ELIKA13,ERIC IN HAWAIIAN AND LUCKY NUMBER,13 GANG REFERENCE
BAD FN68,BAD FUN 68,BAD FUCKIN 68
BRUJO 13,BACK IN HIGH SCHOOL MY NICKNAME WAS BRUJO AND MY FAVORITE NUMBER IS 13,13-GANG
C4 MILES,SEE FOR MILES,SEE FOR MILES… C4-BOMB
DAAFAK,MY SON'S NAME,THE FUCK
DATT ASS,POINTING OUT HOW GOOD THE REAR END OF MY CAR LOOKS,THAT ASS
DNKY PCH,DOWN COUNTRY PUNCH IS A DRINK THAT MY FAMILY MAKES AND IS KNOWN FOR,DONKEY PUNCH
FCUK BOI,FANBOY FOR FRENCH CONNECTION AND DESIGNER APPAREL,FUCK BOY
F OMG,DAUGHTERS INITIALS,FUCK OH MY GOD
FSH BALL,FISH BALL,FISH… BALL… SOME SORT OF SEXUAL?
